,Date,Content,Retweet-count,Like-count,Reply-count,pos,neu,neg,compound,polarity_category
13352,2019-05-21 15:24:50+00:00,36 urs go #RaGa,0,0,0,0.0,1.0,0.0,0.0,neutral
13351,2019-05-21 15:21:55+00:00,Many people in social dia confud between #Rahul and #Rakul Are you embarrasd #AskRakul,0,1,0,0.0,1.0,0.0,0.0,neutral
13350,2019-05-21 15:16:15+00:00,#RahulGandhi You have failed yourlf as a Human Being amp as Politician by being Crude Liar amp Dumb What type of persolity are you You have nothing positive offer anyo amp I wonder where are you leading your followers Sha for conspiring against the #PeopleofIndia,0,0,0,0.0,0.708,0.292,-0.9479,negative
13349,2019-05-21 15:11:47+00:00,2024 #INC # #ApModiAaga AlpeshRadadia SirJadeja RahulGandhi ReallySwara,1,1,0,0.0,1.0,0.0,0.0,neutral
13348,2019-05-21 14:58:49+00:00,Big and interesting ws comingAl Amba withdraw defamation suit against Congress Wow whats happeng#RahulGandhi #Flash,0,0,0,0.333,0.667,0.0,0.7579,positive
13347,2019-05-21 14:53:48+00:00,The Congress Gandhi family may change their family from Gandhi Modi if exit polls co true#Congress #RahulGandhi #CongressGandhiFamily #Indianpolitics #ExitPoll2019,0,1,0,0.0,1.0,0.0,0.0,neutral
13346,2019-05-21 14:50:32+00:00,W will be xt PM of INDIA#India #Modi #Elections2019 #RahulGandhi,1,2,0,0.0,1.0,0.0,0.0,neutral
13345,2019-05-21 14:40:36+00:00,100 # #RahulGandhi #PrinGandhi #2019 #indiadaxitpoll #ABPExitPoll2019 #AajTaxixitPoll #NDTVwsBeeps,0,4,0,0.0,1.0,0.0,0.0,neutral
13344,2019-05-21 14:37:50+00:00,This election ason the discour went so low that my biggest dilemma was whether put Vidss pic as my dp or put Gandhis #Indialection #Gandhi #Vids,0,1,0,0.0,0.844,0.156,-0.5332,negative
13343,2019-05-21 14:34:09+00:00,Chi davvero nobile conosce tutti co uno solo e rende con gioia be per male GandhiFate del be a coloro che vi odiano Vangelo condo Luca #Gandhi #Vangelo #Ges #Be #Panperfocaccia #Denteperdente #Occhioperocchio,0,0,0,0.0,1.0,0.0,0.0,neutral
13342,2019-05-21 14:28:41+00:00,Is #RahulGandhi already in London,2,8,4,0.0,1.0,0.0,0.0,neutral
13341,2019-05-21 14:28:31+00:00,R Gandhi does not an #RahulGandhi it may be RAVISH GANDHI,0,0,0,0.0,1.0,0.0,0.0,neutral
13340,2019-05-21 14:26:06+00:00,#klitas#RahulGandhi postpod liday trip London after being caught up on wrong foot by Social dia#LaluPappu Tejashawi dav not en after May 17th didnt even cast vote on 19 Heard hes enjoying his lidays BTW he wanted change govt at Center#KuchhBhi,0,0,0,0.076,0.854,0.07,0.0772,positive
13339,2019-05-21 14:22:09+00:00,Ek baat batao 23rd laddu kha h han ja padega#ElectionResults #Mo #RahulGandhi #AgaModiHi Amannojia4,0,1,3,0.0,1.0,0.0,0.0,neutral
13338,2019-05-21 14:18:06+00:00,#Stalin of #DMK will be the #ngmar in 2019 LS Governnt What ever #stalin Decides that will be the #decision Formation of the Governnt Decision Mars will be from #Tamildu and by #Tamilians #LokSabhaEelctions2019 #Mo #raga,0,0,0,0.0,1.0,0.0,0.0,neutral
13337,2019-05-21 14:16:19+00:00,#RahulGandhi can anyo say where is RaGa No sound invisible Has he fled d country,0,1,1,0.0,0.864,0.136,-0.296,negative
13336,2019-05-21 13:58:40+00:00,#RahulGandhi #CwdarCr #EvmBewafa #23May 12 #EVMHacng,0,0,0,0.0,1.0,0.0,0.0,neutral
13335,2019-05-21 13:39:23+00:00,#ZeeMahaExitPoll #AajTaxitPoll k lagta Desh in jarurat #Modi #IndiaElections2019 #EVMs #AajTak #ABPsw #rahulgandhi,0,0,0,0.0,1.0,0.0,0.0,neutral
13334,2019-05-21 13:34:17+00:00,Ela h modi go back your Italy #RahulGandhi,0,3,0,0.0,1.0,0.0,0.0,neutral
13333,2019-05-21 13:23:56+00:00,#EVMs is the invention of your DAD #RajivGandhi in 1989 at BEL #BLR I word for this Project If you are aware this Credit goes your DAD but now you are saying it is Fa #BJP #Raga #SoaGandhi #AskRakul #EVMHacng,0,0,0,0.049,0.951,0.0,0.25,positive
13332,2019-05-21 13:20:18+00:00,D #PoorOfDtion hv just pd #TheGreatestTribute2ModiCaveat #ExitPolls cnfmd May 23rd n #Mo back #PMCr starving lot prefers #Mos 6000 pa vs #RaGas 72000 pa is 4 d #SaddestReflecnRaGa n INCIndia credibility,0,0,0,0.0,0.915,0.085,-0.4215,negative
13331,2019-05-21 13:11:33+00:00,#EVMHacngIf EVM machis are hacddocredswapped already as all opposition is saying and suppo by anyway if #Modiji couldnt ma 272 thn will you say the sa save democracy and file petition for reelection or recounting#RahulGandhi #Arvindjriwal #Congress,0,1,0,0.082,0.918,0.0,0.4939,positive
13330,2019-05-21 13:10:18+00:00,HakszIa sapp Btn insaar tap edecei AdaIetIe haret edip tek ba I daha iyi #Gandhi#BiziHatrla,1,3,0,0.0,1.0,0.0,0.0,neutral
13329,2019-05-21 13:09:52+00:00,#RahulGandhi Pls sp this EVM episodethis way u amp this great amp sric #Congress wll not be tan riously e wht rashid alvi saidpls work 2 strengthen party instead,0,0,0,0.309,0.691,0.0,0.88,positive
13328,2019-05-21 13:04:32+00:00,unfortutely wife of #RahulGandhis pidi #Respect BreeZerlic,0,1,0,0.341,0.659,0.0,0.4767,positive
13327,2019-05-21 12:47:59+00:00,#bjp #Congress# ##modi #RahulGandhi,0,0,0,0.0,1.0,0.0,0.0,neutral
13326,2019-05-21 12:46:43+00:00,Not only religion but sheer human morality It is easy enough be friendly os friends But befriend the o w regards himlf as your emy is the quintesnce of true religion The other is re busissMahatma Gandhi#Gandhi #friendship #emy,6,19,2,0.369,0.631,0.0,0.9676,positive
13325,2019-05-21 12:46:18+00:00,#RahulGandhi,1,6,0,0.0,1.0,0.0,0.0,neutral
13324,2019-05-21 12:38:10+00:00,My great and heartiest condolences our ex pri mister #rahulgandhi,0,1,0,0.313,0.687,0.0,0.6249,positive
13323,2019-05-21 12:14:53+00:00,W IS crman of UPA #RahulGandhi,0,0,0,0.0,1.0,0.0,0.0,neutral
13322,2019-05-21 12:11:41+00:00,# EVM #Rahul #Prin,0,1,0,0.0,1.0,0.0,0.0,neutral
13321,2019-05-21 11:59:57+00:00,# EVM #Rahul #Prin,0,0,0,0.0,1.0,0.0,0.0,neutral
13320,2019-05-21 11:37:29+00:00,In days eting at Delhi #mahagathbandan leaders decided that they will start blaming #EVM #VVPAT now only cover their defeat of #LokSabhaElection2019 #Mawati #AAP #Raga #AbgaNY #EVMHacng #ExitPoll2019Results #BJP #Arvindjriwal #AmitShah,0,0,0,0.0,0.824,0.176,-0.7351,negative
13319,2019-05-21 11:25:18+00:00,exit poll Congress EVM and VVpad election commission INCIndia NCPspeaks BJP4India BJP4Maharashtra waglekhil #evm #loksabha2019#exitpoll#bjp#congress #rahulgandhi#modi,0,1,0,0.0,1.0,0.0,0.0,neutral
13318,2019-05-21 11:15:04+00:00,2014 44 44 49 49 5 1136 #Rahulgandhi,0,0,0,0.0,1.0,0.0,0.0,neutral
13317,2019-05-21 10:32:15+00:00,Btw where is #rahulgandhi now a daysAny guess Is he in Londof s then why,0,0,0,0.0,1.0,0.0,0.0,neutral
13316,2019-05-21 10:19:04+00:00,#EVMHacng BJP hi jeet rha #MahaGathbandhanTaiari r lo Modi EVM badam ry b mkuch h dil sukun mil jaayga #MamtaBarjee #Rahulgandhi #AgahModiHi #ModiAaGa #LokSabhaElections2019,0,0,0,0.0,1.0,0.0,0.0,neutral
13315,2019-05-21 10:11:15+00:00,#rendraModi #RahulGandhi,0,0,0,0.0,1.0,0.0,0.0,neutral
13314,2019-05-21 10:06:21+00:00,RubiLiquat 300 Kg RDX #RahulGandhi#PrinGandhi #JyotiraditScindia #digvijaysingh,1,1,1,0.0,1.0,0.0,0.0,neutral
13313,2019-05-21 09:50:29+00:00,Here we have look #WhyCongressGetFailed Few critical points here 1 Ability ignore facts #RahulGandhi has called Modi corrupt witut any factual evidence,0,0,1,0.088,0.728,0.184,-0.3612,negative
13312,2019-05-21 09:48:50+00:00,#RahulGandhi #Arvindjriwal is expenditure of mo tv added in candidate election expenditure Pls verify,0,0,0,0.091,0.909,0.0,0.0772,positive
13311,2019-05-21 09:38:17+00:00,#ExitPoll2019 #AbBaar300Paar #RahulGandhi,0,1,0,0.0,1.0,0.0,0.0,neutral
13310,2019-05-21 09:35:17+00:00,EVM 23 12 #EVMBewafa #EVM #evms #evmhacng #EVMtampering #EVMSwitch #EkPehal #AajTaxixitPoll #ABPExitPoll2019 #RahulGandhi #RahulNowLiability #AbBaarsSarr #Electiolert,0,0,0,0.0,1.0,0.0,0.0,neutral
13309,2019-05-21 09:32:29+00:00,72000 # #Congress #AbBaar300Paar #ApModiAaga #Bihar #AbBaarsSarr #AagaModiHi #AmitShah #ABPExitPoll2019 #AAP #ModiAgain #ModiAaga #RahulGandhi #chuvadda,0,2,0,0.0,1.0,0.0,0.0,neutral
13308,2019-05-21 09:01:14+00:00,#Congress if #Modi wins again rather blaming them try improve your rvice Then you can get a chance on xt ti So better luck xt ti P #RahulNowLiability #RahulGandhi #PMOI,0,0,0,0.365,0.56,0.075,0.9085,positive
13307,2019-05-21 09:00:43+00:00,Wll be winng #ElectionResults2019 #Modi #RemberingRajivGandhi #RahulGandhi #ExitPoll #BJP #Congress,0,0,0,0.0,1.0,0.0,0.0,neutral
13306,2019-05-21 08:54:10+00:00,#ElectionResults2019 #EVMHacng #ModiAgain #RahulGandhi,0,0,0,0.0,1.0,0.0,0.0,neutral
13305,2019-05-21 08:53:48+00:00,According few morons#SurgicalStris #Airstri #Rafale #ExitPoll2019 #Modi #BJP is all a bluff and What is a truth #Islamopbia#Lutns #Pidis #Congress#TukdeTukdeGang #RahulGandhi#Mahagathbandhan #EVMHacng,0,0,0,0.099,0.901,0.0,0.3182,positive
13304,2019-05-21 08:48:36+00:00,23 EVM #EVM # #ExitPoll2019 #EVMHacng #Opposition #papu #RahulGandhi,0,2,0,0.0,1.0,0.0,0.0,neutral
13303,2019-05-21 08:48:14+00:00,I hate #Congress by all my heart I cant digest the fact that very or leaders li captamarinder act li #Gandhi family slaves w can they accept #IdiotInChief #Pappu as party presidentAfter theyre including #Trairs li sherryonpp #CongressMuktBharat is on,0,0,0,0.193,0.732,0.075,0.7003,positive
13302,2019-05-21 08:42:26+00:00,W is going win this Election #Elections2019results #BJP #Congress #RahulGandhi #rendraModi #Indialections2019,0,0,0,0.257,0.743,0.0,0.5859,positive
13301,2019-05-21 08:39:25+00:00,Coming Soon #ElectionCommission #EVMHacng #EVMScandal #modi #Rahulgandhi #BJP #Congress #ElectionResults #AAP,0,1,0,0.0,1.0,0.0,0.0,neutral
13300,2019-05-21 08:38:11+00:00,#Congress #RahulGandhi #digvijaysingh #MamtaBarjee #pilSibal #mawati #Akhileshdav #Sitaramchury #SoaGandhi 40 CR,0,0,0,0.0,1.0,0.0,0.0,neutral
13299,2019-05-21 08:30:47+00:00,#RemberingRajivGandhi #RemberAndverForget #RemberingRajivGandhi #Remberingrgil #RemberingRajeevGandhi #RahulGandhi #PrinGandhiVadra #RAGA #BJPDemocracyBachao,1,0,0,0.0,1.0,0.0,0.0,neutral
13298,2019-05-21 08:19:23+00:00,#Cudhary ranvir singh mahendra amp #Sumit Sheoran Yuwa ta congress#RahulGandhi #dependerhudda#bhupender hudda,0,0,0,0.0,1.0,0.0,0.0,neutral
13297,2019-05-21 08:16:32+00:00,#GaOfThros ended this week#Avengers ended with #Avengerndga #TheBigBangTheory ended with a Bang last weekThe biggest entertainnt provider #RahulGandhi #Congress #Inc will end on the 23rd with #moAgain #Modi #BJP crossing 300 ats #Sadtis Sad tis indeed,0,0,0,0.0,0.919,0.081,-0.4767,negative
13296,2019-05-21 08:15:10+00:00,With #evmhacng is being highlighted again W suld interve now#EVMScandal #EVMs #EVMFraud#LokSabhaElections2019 #ExitPollPbia #UPA #NDA #BJP #BREANG #India #RahulGandhi #ModiAgain,0,0,0,0.0,1.0,0.0,0.0,neutral
13295,2019-05-21 08:14:50+00:00,Wherever Theres A Human Being There Is A Chance For A ndss #encaAnd The Best Way Find Yourlf Is Lo Yourlf In The rvice Of Others #Gandhi#Rotary Is Good JohnHew RotaryRassin Rotary ChurchillNwagwu agborpasschal osmartchapirol ucheuh,2,3,0,0.216,0.784,0.0,0.8442,positive
13294,2019-05-21 08:07:16+00:00,We thank uppu824gmailcom for doting #Blood shanthamma in #Sutha nursing #Gandhi gar on 21052019 #Friends2Support,0,0,0,0.152,0.848,0.0,0.3612,positive
13293,2019-05-21 08:06:34+00:00,Noa 50 #INC,0,0,0,0.0,1.0,0.0,0.0,neutral
13292,2019-05-21 07:59:04+00:00,#God was great freedom fighter He by mista st #Mahatma Gandhi his actual plan was ll #Jinh In between why he lled Mahatma #Gandhi is mystery,0,0,0,0.353,0.647,0.0,0.9001,positive
13291,2019-05-21 07:58:15+00:00,Why #EVMHacng is not possible under upa govt in 2014 geral election #RahulGandhi hi cr #exitpoll,0,1,0,0.0,1.0,0.0,0.0,neutral
13290,2019-05-21 07:55:31+00:00,evm #Inc #AbBaar300Paar #Arvindjriwal #ABPExitPoll2019,0,0,0,0.0,1.0,0.0,0.0,neutral
13289,2019-05-21 07:44:38+00:00,Is #EVMHacng possible#EVMHacng #EVM #EVMFraud #rendraModi #RahulGandhi #NDA #UPA #Congress #BJP #ElectionResults #AagahModiHi #abbaarmodisarr #ModiSarr RahulGandhi NaNarendra Modi AmitShah smritiira arunjaitley ShashiTharoor digvija28 Mawati,0,0,0,0.0,1.0,0.0,0.0,neutral
13288,2019-05-21 07:40:27+00:00,#RajivGandhi #RahulGandhi,0,0,0,0.0,1.0,0.0,0.0,neutral
13287,2019-05-21 07:29:03+00:00,Rembering #RajivGandhi on his death anversaryO of gr8 PM everbrought technology in India#RAJEEVGANDHI #RahulGandhi,0,0,0,0.189,0.612,0.199,-0.0516,negative
13286,2019-05-21 07:06:20+00:00,#RemberingRajivGandhi tarah #RemberingRahulGandhi b aaga#RemberingRajivGandhi #EVMHacng #Saa #TuesdayTughts #AagahModiHi #ModiAgain #BJP #Congress #CongressMuktBharat #NDA #UPA #RahulGandhi #rendraModi NaNarendra Modi RahulGandhi #RemberingCongress,0,1,0,0.0,1.0,0.0,0.0,neutral
13285,2019-05-21 07:03:07+00:00,I think #ElectionCommission suld ban #ExitPolls there is no ed for exit polls results when the actual amp real results will be coming in 34 days ECISVEEP #ECI #ElectionsWithNDTV #ElectionsWithTis #ElectionsWithws18 #Elections2019 #BJP #INC,0,0,0,0.0,0.847,0.153,-0.7003,negative
13284,2019-05-21 07:01:02+00:00,What frightens you declare in the open that you can lead INCIndia in a much better way than anyo in the existing #Gandhi family #AskTharoor,0,0,0,0.101,0.804,0.094,0.0516,positive
13283,2019-05-21 06:55:27+00:00,What you do with interesting tweet#pappu #rendraModi #RahulGandhi #MoForwIndia # #AagaModiHi #AbBaarModiSarr #AbBaar300Paar #AishwarRaiBachchan #Viveberoi #ExitPoll #Elections2019,0,0,0,0.144,0.856,0.0,0.4019,positive
13282,2019-05-21 06:52:12+00:00,#Bpal #malth 29 #Congress #MadhPradesh #RahulGandhi #PrinGandhi INCIndia,0,1,0,0.0,1.0,0.0,0.0,neutral
13281,2019-05-21 06:51:43+00:00,#RemberingRajivGandhi #GandhiRahulGandhi a long with Bofors1984 carge Shah Bano ca Bpal Gas Tragedy His Lakhsadweep trip and INS viraat His admission of rampant curruotion when he said 15 p reaching common man for every 1 rupee of subsidy,0,0,0,0.043,0.853,0.104,-0.5574,negative
13280,2019-05-21 06:46:32+00:00,Very promising exit poll results India has proved that the w Age Voters are smart and responsible If #RahulGandhi would have won this ti I would have given up pe on the Indian democracy and left India for good#ModiAgain #Rahulagandhi #ExitPolls #Indialections2019,0,0,0,0.235,0.765,0.0,0.8932,positive
13279,2019-05-21 06:37:42+00:00,Rembering forr pri mister of India #RajivGandhi on his death anversar great man w sacrificed his life for our country Unforgettable #RemberingRajivGandhi #RahulGandhi #PrinGandhi #SoaGandhi,0,0,0,0.132,0.742,0.126,0.0516,positive
13278,2019-05-21 06:36:08+00:00,People in #India ed ponder over the fact that both #BJP and #INC poll less than 50 of tal votes t they are the os in governnt at the centre what about the remaing odd 50 Is this a true reprentation of democratic aspirations or mapulation of demographics,0,0,0,0.055,0.9,0.045,0.128,positive
13277,2019-05-21 06:24:37+00:00,#RahulGandhi #PrinGandhi rssurjewala BrijeshJaat alochakmanoj Thakr999 DrKumarVishwas,0,5,1,0.0,1.0,0.0,0.0,neutral
13276,2019-05-21 06:12:14+00:00,W according you will win #LokSabhaElections2019 #ITCounts#LokSabha #Electionsresults2019 #rendraModi #RahulGandhi,1,0,1,0.297,0.703,0.0,0.5859,positive
